Index: 73945275944275920010457783194594121327714257484436355842621907864368267215482, account: a9e8f0fbf0d2911d746500a7786606d3fc80abb6, amount: 42716144764901754287382928429 (Small enough? False, equal? False), proof: 0x0ae01ec0f7a50774e0c1ad35f0f5efcc14c376f675704a6212b483bfbf742a69 0x3f267b524a6acda73b1d3e54777f40b188c66a14a090cd142a7ec48b13422298 0xe2eae0dabf8d82b313729f55298625b7ac9ba0f12e408529bae4a2ce405e7d5f 0x01cf774c22de70195c31bde82dc3ec94807e4e4e01a42aca6d5adccafe09510e 0x5271d2d8f9a3cc8d6fd02bfb11720e1c518a3bb08e7110d6bf7558764a8da1c5
Index: 35506521800012717260663745841462400281765178170982081485167783179314036341278, account: 53af2e862fa1f6e8b669f83b25bfd6d2c3fb52df, amount: 3910683401907625153169558317 (Small enough? False, equal? False), proof: 0x570a5dc89eddc4cdb73631b6f43d3e20a10b272a69b0b9087d778502b4ae034b 0xe17532a1de454f0b97005a3608233cbbdf6680bdefb2eab2dade48d76df0407f 0xe3affea7b3ec31efa680e4f2728e46392eea685ce2ca5803848a3637de650e13 0x5ccf0ef336c96ea89a6a1b0fa449644f646e67fdf1099608f560fcf8b55118e8 0x3d159ff1e06840b9a541438da880d6637874661722c48e37343c9e6329245c2e
Index: 69217784429854725186229449538696087478962340964429305163875682495591163545784, account: 99ac0dc09380e26dabe05f039a3d36fbc562b612, amount: 75527462847704311746525542400 (Small enough? False, equal? False), proof: 0x72828ce11efc964cf1f828f243091a1783032ec9dbe26d53d1ef15beb050508c 0x449eac22434639a214604e71bc3c53ee18a2803f1cca16000e5d26fe3ee6ac11 0xf2511a8dc138320a73ce3b126adfa94a3e290691a9071d85189d01ef860bd734 0x01cf774c22de70195c31bde82dc3ec94807e4e4e01a42aca6d5adccafe09510e 0x5271d2d8f9a3cc8d6fd02bfb11720e1c518a3bb08e7110d6bf7558764a8da1c5
Index: 46003790996801144612838294017324817098603228429132049421760197580960438582893, account: 6bb0194ee897ebcf7a41ccebee579ab0fe0e191d, amount: 49013004170513742249614673045 (Small enough? False, equal? False), proof: 0x62663a6d05597df610cb657a9d6691fd7c5352e6ed2f76f0274c3bc96ec14aed 0x9c655dc701fa000048be0b99912551f71b77031ce47437fa220120e8b56a877c 0x36023974ab0ea95508c311d9ccbf32b662b1ffdb2823817d746f8222ec2dd07c 0x5ccf0ef336c96ea89a6a1b0fa449644f646e67fdf1099608f560fcf8b55118e8 0x3d159ff1e06840b9a541438da880d6637874661722c48e37343c9e6329245c2e
Index: 78430875034029030532307687446546134238731066225514531890378708808380250601000, account: b142a5c6b86dd9fdd364b8aef591f47c181dcfbd, amount: 20365413682991115272232398382 (Small enough? False, equal? False), proof: 0x86f8b4db67c570567b6d8c72a4127cce15ed261863f0fc28c63bfa9e92a8c4fd 0x3f267b524a6acda73b1d3e54777f40b188c66a14a090cd142a7ec48b13422298 0xe2eae0dabf8d82b313729f55298625b7ac9ba0f12e408529bae4a2ce405e7d5f 0x01cf774c22de70195c31bde82dc3ec94807e4e4e01a42aca6d5adccafe09510e 0x5271d2d8f9a3cc8d6fd02bfb11720e1c518a3bb08e7110d6bf7558764a8da1c5
Index: 73072498066115782135335066822641625564918414149638937198744938266757198378373, account: a2f005afe53c681aec101c5107b1bc6619e1ebae, amount: 50704010032596571526192793113 (Small enough? False, equal? False), proof: 0x0c15f6d9f61156109f0005f9b7f675b23e7aec4694ab76571f78c1e967dc99ef 0x41e12276ae416e87527eef564a668374da0157d93387edd75796ffeab88bf849 0xe2eae0dabf8d82b313729f55298625b7ac9ba0f12e408529bae4a2ce405e7d5f 0x01cf774c22de70195c31bde82dc3ec94807e4e4e01a42aca6d5adccafe09510e 0x5271d2d8f9a3cc8d6fd02bfb11720e1c518a3bb08e7110d6bf7558764a8da1c5
Index: 55754461480973685792243474011927556042640633754934269095826758398241560027342, account: 7c6732545262910be97f294b94dfe4a16612869a, amount: 9311682734952849572696753943 (Small enough? False, equal? False), proof: 0x5eeac0a5817d0a92ac8111f5baea4d21a3d9a935bb9a8ab87c326d52fe9dce44 0x6396734133b37a66dcaf6e892db605531ae16ff8945cbccc5590b3624bbda293 0xf2511a8dc138320a73ce3b126adfa94a3e290691a9071d85189d01ef860bd734 0x01cf774c22de70195c31bde82dc3ec94807e4e4e01a42aca6d5adccafe09510e 0x5271d2d8f9a3cc8d6fd02bfb11720e1c518a3bb08e7110d6bf7558764a8da1c5
Index: 95977926008167990775258181520762344592149243674153847852637091833889008632898, account: d48451c19959e2d9bd4e620fbe88aa5f6f7ea72a, amount: 72033437049132565012603 (Small enough? True, equal? False), proof: 0x8920c10a5317ecff2d0de2150d5d18f01cb53a377f4c29a9656785a22a680d1d 0xc999b0a9763c737361256ccc81801b6f759e725e115e4a10aa07e63d27033fde 0x842f0da95edb7b8dca299f71c33d4e4ecbb37c2301220f6e17eef76c5f386813 0x0e3089bffdef8d325761bd4711d7c59b18553f14d84116aecb9098bba3c0a20c 0x5271d2d8f9a3cc8d6fd02bfb11720e1c518a3bb08e7110d6bf7558764a8da1c5
Index: 39061289103032381370995628282251603777387444006469703738437947477078283654649, account: 59b5a9cd883510d6863a0715c88a98b079c036a4, amount: 77777723658274971961112549573 (Small enough? False, equal? False), proof: 0x8d95f5b0ee482a4d1f61599c5b35b324a89036b657998b1def0dde35a92123aa 0xe17532a1de454f0b97005a3608233cbbdf6680bdefb2eab2dade48d76df0407f 0xe3affea7b3ec31efa680e4f2728e46392eea685ce2ca5803848a3637de650e13 0x5ccf0ef336c96ea89a6a1b0fa449644f646e67fdf1099608f560fcf8b55118e8 0x3d159ff1e06840b9a541438da880d6637874661722c48e37343c9e6329245c2e
Index: 9587010300666437148844165425285947660399515433809222496332033091915808572127, account: 164465e87b253a734a56bc34e3f4b5f24c5f3ee5, amount: 62784553859250196926249868437 (Small enough? False, equal? False), proof: 0x6353fdd25845769b10a6f4e18d04c0a1226d47381aa51bfcb971395733433879 0x0cd186d2b1377ee96a87ef7a295dec75cc05b54a08fcaca61868911d6ac9bc27 0x21daac29f18f235ede61e08c609f5762e5d12f87d9f014a3254039eb7b71d931 0x4fcfc1702cc3495bc600779c15a4aec4dc5f6432cbf82d5209c0f07095ffe33c 0x3d159ff1e06840b9a541438da880d6637874661722c48e37343c9e6329245c2e
Index: 110962886864673354775820585233244641670761173299593506581899196480030293278344, account: fb6d302655b6f6a8f6f1aca20a3edb8c6c8c4640, amount: 67675027380257179075294823942 (Small enough? False, equal? False), proof: 0xb237516aa3fae34a6ca09a662b8457ffb22dd2dfc5aa144e0d6c0f2445821b86 0x2fa599012c0491428e6451d1cc1511f133f82c66ee98b9eefc1b4c263db48518 0xabde46c0e277501c050793f072f0759904f6b2b8e94023efb7fc9112f366374a 0x0e3089bffdef8d325761bd4711d7c59b18553f14d84116aecb9098bba3c0a20c 0x5271d2d8f9a3cc8d6fd02bfb11720e1c518a3bb08e7110d6bf7558764a8da1c5
Index: 51919768653084916565521015868544666517879347597083178572797655974909746948155, account: 763326fbee252000fc15343ef2cc074ab3414dbc, amount: 44011176587766133655752503168 (Small enough? False, equal? False), proof: 0x644ff4aa4c4a5713d7d2189eaf1d60cc99a4924db146f3714d998510f35ed34c 0x4651c9cafba7a07e593d2fddecb28bfd6af2c0731126931e60a621684363524a 0x36023974ab0ea95508c311d9ccbf32b662b1ffdb2823817d746f8222ec2dd07c 0x5ccf0ef336c96ea89a6a1b0fa449644f646e67fdf1099608f560fcf8b55118e8 0x3d159ff1e06840b9a541438da880d6637874661722c48e37343c9e6329245c2e
Index: 94180806720030549619582220139767468544334310198603986989052422505643190617351, account: d2b8ed2291e92e504017d646568210a107890c34, amount: 65043746890005942780841847709 (Small enough? False, equal? False), proof: 0x225de26d438b50d8afea1120376d92b188d770338d4629a6cfbd09c7af39d34c 0xc999b0a9763c737361256ccc81801b6f759e725e115e4a10aa07e63d27033fde 0x842f0da95edb7b8dca299f71c33d4e4ecbb37c2301220f6e17eef76c5f386813 0x0e3089bffdef8d325761bd4711d7c59b18553f14d84116aecb9098bba3c0a20c 0x5271d2d8f9a3cc8d6fd02bfb11720e1c518a3bb08e7110d6bf7558764a8da1c5
Index: 25498924045586441430544340671398484177099161892283364946172639979661828935656, account: 42545b56127a9fe8daea5c3cf4036a47cf91f459, amount: 33203936490470591435514226017 (Small enough? False, equal? False), proof: 0x25e8e051b1e50b71a99e6247bef8c6566c3ec41d3ba014d5963fc31b48169965 0x54dfc2bcb68496ea7b8f2e6abbbd3dc442151628379a64aa231ce6fb6aae02b6 0xe3affea7b3ec31efa680e4f2728e46392eea685ce2ca5803848a3637de650e13 0x5ccf0ef336c96ea89a6a1b0fa449644f646e67fdf1099608f560fcf8b55118e8 0x3d159ff1e06840b9a541438da880d6637874661722c48e37343c9e6329245c2e
Index: 51563748101100964590336829857326232924227085102132430309483158277861266007035, account: 7216025ef8f0d72ddac0c434ac52525b69466235, amount: 16378813857828127962573929114 (Small enough? False, equal? False), proof: 0x43047705e643f244c1fa91232f837793bd978d50a148cccdcb5883cd20d21f07 0x4651c9cafba7a07e593d2fddecb28bfd6af2c0731126931e60a621684363524a 0x36023974ab0ea95508c311d9ccbf32b662b1ffdb2823817d746f8222ec2dd07c 0x5ccf0ef336c96ea89a6a1b0fa449644f646e67fdf1099608f560fcf8b55118e8 0x3d159ff1e06840b9a541438da880d6637874661722c48e37343c9e6329245c2e
Index: 56328863738875220233561875691239678268832549942048552191890851489778574457698, account: 7ed7078322373dc76f5fd327fe18d63e1fd9811c, amount: 6853586730054196258552533891 (Small enough? False, equal? False), proof: 0x3c7a509d9a786d3476cf62d5076e246cdc15572aadfbfc49993290bea04dc33e 0x6396734133b37a66dcaf6e892db605531ae16ff8945cbccc5590b3624bbda293 0xf2511a8dc138320a73ce3b126adfa94a3e290691a9071d85189d01ef860bd734 0x01cf774c22de70195c31bde82dc3ec94807e4e4e01a42aca6d5adccafe09510e 0x5271d2d8f9a3cc8d6fd02bfb11720e1c518a3bb08e7110d6bf7558764a8da1c5
Index: 97057410396807555844837068087296809645062778511014322342707481018998112400102, account: dae406929d3fb1a4f6b11c05a71ca6a8c86ad99c, amount: 36841696761988745895392606004 (Small enough? False, equal? False), proof: 0x19e39d26bfd282e8e58964c4d9e4bc060308166347034e432d8a9fbefb2c6e68 0x46b46a28fab615ab202ace89e215576e28ed0ee55f5f6b5e36d7ce9b0d1feda2 0xabde46c0e277501c050793f072f0759904f6b2b8e94023efb7fc9112f366374a 0x0e3089bffdef8d325761bd4711d7c59b18553f14d84116aecb9098bba3c0a20c 0x5271d2d8f9a3cc8d6fd02bfb11720e1c518a3bb08e7110d6bf7558764a8da1c5
Index: 7001005475491116599184326166838013547440774796837735854479325013586843622738, account: 115e62dc3725c12935896f44553d0835473aa466, amount: 74206715702091518397065352636 (Small enough? False, equal? False), proof: 0xb1408b0fc0b96c6469dd721ebd1c04ec436da2e819765a758fe2f17c9fbf6021 0x292ea2e708cd883538e918fa5e092fe233fc7ef4be50902e9c63610af22ba9b8 0x51f609195fe7b01dbe09b4f0c130c652183a94ce57e75ba6ead0fc94d2c4f557 0x4fcfc1702cc3495bc600779c15a4aec4dc5f6432cbf82d5209c0f07095ffe33c 0x3d159ff1e06840b9a541438da880d6637874661722c48e37343c9e6329245c2e
Index: 89241898697425577080392468803720208025093368956899633642523425749938664578322, account: c75df667b1e0673d6434808d3e4466c39f61a00b, amount: 5326997729376119599982914019 (Small enough? False, equal? False), proof: 0x83f60a763e672b25703da0229e530c207933554cc4c26dfe30d69b11a2f5e511 0xf5f6b74e51a15573007b59fb217c22c55fd9748a1e70578c6ddaf550b7298882 0x842f0da95edb7b8dca299f71c33d4e4ecbb37c2301220f6e17eef76c5f386813 0x0e3089bffdef8d325761bd4711d7c59b18553f14d84116aecb9098bba3c0a20c 0x5271d2d8f9a3cc8d6fd02bfb11720e1c518a3bb08e7110d6bf7558764a8da1c5
Index: 70673604045140013309645318152552047573431760294403224030690259219264418955247, account: a0043ed2863bf56a6190c105922498904db3844d, amount: 53679457378223868139469117564 (Small enough? False, equal? False), proof: 0xd29a8264fe1886a31674e30d34a918354022351498a0f42f68f12e0ca2fb3a09 0x41e12276ae416e87527eef564a668374da0157d93387edd75796ffeab88bf849 0xe2eae0dabf8d82b313729f55298625b7ac9ba0f12e408529bae4a2ce405e7d5f 0x01cf774c22de70195c31bde82dc3ec94807e4e4e01a42aca6d5adccafe09510e 0x5271d2d8f9a3cc8d6fd02bfb11720e1c518a3bb08e7110d6bf7558764a8da1c5
Index: 40855254571174497613189147341897217002720242500785194630112496249659276798540, account: 635d83d54c68be93dbb2d55213899ce15315a805, amount: 13732978994138218437660503062 (Small enough? False, equal? False), proof: 0x9fb9f6ee8f0b83a0f1eb41e57eb1b4a53d0dfa86bab2bb38093113670cf2d94c 0x9c655dc701fa000048be0b99912551f71b77031ce47437fa220120e8b56a877c 0x36023974ab0ea95508c311d9ccbf32b662b1ffdb2823817d746f8222ec2dd07c 0x5ccf0ef336c96ea89a6a1b0fa449644f646e67fdf1099608f560fcf8b55118e8 0x3d159ff1e06840b9a541438da880d6637874661722c48e37343c9e6329245c2e
Index: 4240030458959241348085317369527886575126970124431766150341149703501792043245, account: 098a4ebeaea5dcab6543f613d606a459b7121177, amount: 19765027830635660044283982917 (Small enough? False, equal? False), proof: 0x1577bdc1958b6677f9e850bbb2b938daa51979ce9af4b0dbcc7f763c3aee1ee3 0x292ea2e708cd883538e918fa5e092fe233fc7ef4be50902e9c63610af22ba9b8 0x51f609195fe7b01dbe09b4f0c130c652183a94ce57e75ba6ead0fc94d2c4f557 0x4fcfc1702cc3495bc600779c15a4aec4dc5f6432cbf82d5209c0f07095ffe33c 0x3d159ff1e06840b9a541438da880d6637874661722c48e37343c9e6329245c2e
