Pool ID: 0, LP token: 0x06da0fd433C1A5d7a4faa01111c044910A184553 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xdAC17F958D2ee523a2206206994597C13D831ec7 (is WETH: False)
Pool ID: 16, LP token: 0x95b54C8Da12BB23F7A5F6E26C38D04aCC6F81820 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xAba8cAc6866B83Ae4eec97DD07ED254282f6aD8A (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 17, LP token: 0x58Dc5a51fE44589BEb22E8CE67720B5BC5378009 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xD533a949740bb3306d119CC777fa900bA034cd52 (is WETH: False)
Pool ID: 18, LP token: 0xDafd66636E2561b0284EDdE37e42d192F2844D40 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 19, LP token: 0x36e2FCCCc59e5747Ff63a03ea2e5C0c2C14911e7 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x8798249c2E607446EfB7Ad49eC89dD1865Ff4272 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 20, LP token: 0x0Cfe7968e7c34A51217a7C9b9dc1690F416E027e (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643 (is WETH: False), Token 1: 0x6B175474E89094C44Da98b954EedeAC495271d0F (is WETH: False)
Pool ID: 21, LP token: 0xCEfF51756c56CeFFCA006cD410B03FFC46dd3a58 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 22, LP token: 0xf169CeA51EB51774cF107c88309717ddA20be167 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x2ba592F78dB6436527729929AAf6c908497cB200 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 23, LP token: 0x17b3C19Bd640a59E832AB73eCcF716CB47419846 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xD5525D397898e5502075Ea5E830d8914f6F0affe (is WETH: False)
Pool ID: 24, LP token: 0xFcff3b04C499A57778ae2CF05584ab24278A7FCb (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x0d438F3b5175Bebc262bF23753C1E53d03432bDE (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 25, LP token: 0x382c4a5147Fd4090F7BE3A9Ff398F95638F5D39E (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x5dbcF33D8c2E976c6b560249878e6F1491Bca25c (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 26, LP token: 0x2024324a99231509a3715172d4F4f4E751b38d4d (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599 (is WETH: False), Token 1: 0x5dbcF33D8c2E976c6b560249878e6F1491Bca25c (is WETH: False)
Pool ID: 27, LP token: 0x0be88ac4b5C81700acF3a606a52a31C261a24A35 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xA0b73E1Ff0B80914AB6fe0444E65848C4C34450b (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 28, LP token: 0x518d6CE2D7A689A591Bf46433443C31615b206C5 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599 (is WETH: False), Token 1: 0xEB4C2781e4ebA804CE9a9803C67d0893436bB27D (is WETH: False)
Problem with pool 29 -- ValueError('execution reverted: ')
Problem with pool 30 -- ValueError('execution reverted: ')
Pool ID: 31, LP token: 0x6463Bd6026A2E7bFab5851b62969A92f7cca0eB6 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x584bC13c7D411c00c01A62e8019472dE68768430 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 32, LP token: 0x2Dbc7dD86C6cd87b525BD54Ea73EBeeBbc307F68 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599 (is WETH: False), Token 1: 0x8dAEBADE922dF735c38C80C7eBD708Af50815fAa (is WETH: False)
Pool ID: 33, LP token: 0xBa13afEcda9beB75De5c56BbAF696b880a5A50dD (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 34, LP token: 0x68C6d02D44E16F1c20088731Ab032f849100D70f (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x62359Ed7505Efc61FF1D56fEF82158CcaffA23D7 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 35, LP token: 0x269Db91Fc3c7fCC275C2E6f22e5552504512811c (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x429881672B9AE42b8EbA0E26cD9C73711b891Ca5 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 36, LP token: 0x742c15d71eA7444964BC39b0eD729B3729ADc361 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xd26114cd6EE289AccF82350c8d8487fedB8A0C07 (is WETH: False)
Pool ID: 37, LP token: 0xD75EA151a61d06868E31F8988D28DFE5E9df57B4 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 38, LP token: 0x15e86E6f65EF7EA1dbb72A5E51a07926fB1c82E3 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xfF20817765cB7f73d4bde2e66e067E58D11095C2 (is WETH: False)
Pool ID: 39, LP token: 0xd597924b16Cc1904d808285bC9044fd51CEEEaD7 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x8798249c2E607446EfB7Ad49eC89dD1865Ff4272 (is WETH: False), Token 1: 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 (is WETH: False)
Pool ID: 40, LP token: 0x5a2943B25ce0678Dc0b351928D2DB331A55D94eA (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x3F382DbD960E3a9bbCeaE22651E88158d2791550 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 41, LP token: 0x53aaBCcAE8C1713a6a150D9981D2ee867D0720e8 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xFca59Cd816aB1eaD66534D82bc21E7515cE441CF (is WETH: False)
Pool ID: 42, LP token: 0x34b13F8CD184F55d0Bd4Dd1fe6C07D46f245c7eD (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x1494CA1F11D487c2bBe4543E90080AeBa4BA3C2b (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 43, LP token: 0xbcEdc25CbB0EA44E03E41dC2d00D54Fe6d4646Db (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x8dAEBADE922dF735c38C80C7eBD708Af50815fAa (is WETH: False), Token 1: 0xe1406825186D63980fd6e2eC61888f7B91C4bAe4 (is WETH: False)
Pool ID: 44, LP token: 0x0F82E57804D0B1F6FAb2370A43dcFAd3c7cB239c (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x0AaCfbeC6a24756c20D41914F2caba817C0d8521 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Problem with pool 45 -- ValueError('execution reverted: ')
Pool ID: 46, LP token: 0x69b39B89f9274a16e8A19B78E5eB47a4d91dAc9E (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xa0246c9032bC3A600820415aE600c6388619A14D (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 47, LP token: 0x0289B9CD5859476Ce325aCa04309D36adDCEbDAA (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xEB4C2781e4ebA804CE9a9803C67d0893436bB27D (is WETH: False)
Pool ID: 48, LP token: 0x97f34c8E5992EB985c5F740e7EE8c7e48a1de76a (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xad32A8e6220741182940c5aBF610bDE99E737b2D (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 49, LP token: 0x9Fc5b87b74B9BD239879491056752EB90188106D (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x0Ae055097C6d159879521C384F1D2123D1f195e6 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 50, LP token: 0x6f58A1Aa0248A9F794d13Dc78E74Fc75140956D7 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x8762db106B2c2A0bccB3A80d1Ed41273552616E8 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 51, LP token: 0xEe6d78755e06C31AE7A5EA2b29b35C073dfc00A9 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x8dAEBADE922dF735c38C80C7eBD708Af50815fAa (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 52, LP token: 0x4F871F310AD0E8a170db0021c0ce066859d37469 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x18aAA7115705e8be94bfFEBDE57Af9BFc265B998 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 53, LP token: 0x364248b2f1f57C5402d244b2D469A35B4C0e9dAB (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x8Ab7404063Ec4DBcfd4598215992DC3F8EC853d7 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 54, LP token: 0xD7c2A4aa31E1bF08dc7Ff44C9980fa8573E10C1B (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xEEF9f339514298C6A857EfCfC1A762aF84438dEE (is WETH: False)
Pool ID: 55, LP token: 0x033ecD066376aFec5E6383BC9F1F15bE4C62dc89 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xb1dC9124c395c1e97773ab855d66E879f053A289 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 56, LP token: 0xe4455FdEc181561e9Ffe909Dde46AAEaeDC55283 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x2A8e1E676Ec238d8A992307B495b45B3fEAa5e86 (is WETH: False), Token 1: 0xdAC17F958D2ee523a2206206994597C13D831ec7 (is WETH: False)
Pool ID: 57, LP token: 0x0bff31d8179Da718A7ee3669853cF9978c90a24a (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xEa319e87Cf06203DAe107Dd8E5672175e3Ee976c (is WETH: False)
Pool ID: 58, LP token: 0xaf988afF99d3d0cb870812C325C588D8D8CB7De8 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x1cEB5cB57C4D4E2b2433641b95Dd330A33185A44 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 59, LP token: 0xC5Fa164247d2F8D68804139457146eFBde8370F6 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xCa3FE04C7Ee111F0bbb02C328c699226aCf9Fd33 (is WETH: False)
Pool ID: 60, LP token: 0x35a0d9579B1E886702375364Fe9c540f97E4517B (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xF5D669627376EBd411E34b98F19C868c8ABA5ADA (is WETH: False)
Problem with pool 61 -- ValueError('execution reverted: ')
Problem with pool 62 -- ValueError('execution reverted: ')
Pool ID: 63, LP token: 0xDFf71165a646BE71fCfbaa6206342FAa503AeD5D (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x36F3FD68E7325a35EB768F1AedaAe9EA0689d723 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 64, LP token: 0x378b4c5f2a8a0796A8d4c798Ef737cF00Ae8e667 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x960b236A07cf122663c4303350609A66A7B288C0 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 65, LP token: 0xEF4F1D5007B4FF88c1A56261fec00264AF6001Fb (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x93ED3FBe21207Ec2E8f2d3c3de6e058Cb73Bc04d (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 66, LP token: 0x1C580CC549d03171B13b55074Dc1658F60641C73 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x38e4adB44ef08F22F5B5b76A8f0c2d0dCbE7DcA1 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 67, LP token: 0xf45D97F9D457661783146D63DD13DA20ce9bf847 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xb4bebD34f6DaaFd808f73De0d10235a92Fbb6c3D (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 68, LP token: 0x4441eb3076f828D5176f4Fe74d7c775542daE106 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x1F3f9D3068568F8040775be2e8C03C103C61f3aF (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 69, LP token: 0xFb3cD0B8A5371fe93ef92E3988D30Df7931E2820 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xe28b3B32B6c345A34Ff64674606124Dd5Aceca30 (is WETH: False)
Pool ID: 70, LP token: 0x44D34985826578e5ba24ec78c93bE968549BB918 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x3c9d6c1C73b31c837832c72E04D3152f051fc1A9 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 71, LP token: 0x23a9292830Fc80dB7f563eDb28D2fe6fB47f8624 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xb753428af26E81097e7fD17f40c88aaA3E04902c (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 72, LP token: 0xb12aa722a3A4566645F079B6F10c89A3205b6c2c (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x20c36f062a31865bED8a5B1e512D9a1A20AA333A (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 73, LP token: 0x110492b31c59716AC47337E616804E3E3AdC0b4a (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599 (is WETH: False), Token 1: 0x3472A5A71965499acd81997a54BBA8D852C6E53d (is WETH: False)
Pool ID: 74, LP token: 0x9360b76f8f5F932AC33D46A3CE82ad6C52A713E5 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xA8e7AD77C60eE6f30BaC54E2E7c0617Bd7B5A03E (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 75, LP token: 0xA73DF646512C82550C2b3C0324c4EEdEE53b400C (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x0954906da0Bf32d5479e25f46056d22f08464cab (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 76, LP token: 0xadeAa96A81eBBa4e3A5525A008Ee107385d588C3 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x87eDfFDe3E14c7a66c9b9724747a1C5696b742e6 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 77, LP token: 0xF1360C4ae1cead17B588ec1111983d2791B760d3 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x8A9C67fee641579dEbA04928c4BC45F66e26343A (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 78, LP token: 0x0040a2CEBc65894BC2cFb57565f9ACfa33Fab137 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xdbDD6F355A37b94e6C7D32fef548e98A280B8Df5 (is WETH: False)
Pool ID: 79, LP token: 0x9cD028B1287803250B1e226F0180EB725428d069 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x903bEF1736CDdf2A537176cf3C64579C3867A881 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 80, LP token: 0x67e475577B4036EE4f0F12fa2d538Ed18CEF48e3 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x9D47894f8BECB68B9cF3428d256311Affe8B068B (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 81, LP token: 0x53E9fB796b2feb4B3184AFDf601C2A2797548d88 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x8064d9Ae6cDf087b1bcd5BDf3531bD5d8C537a68 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 82, LP token: 0xE5f06db4F3473E7E35490F1F98017728496fe81E (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x26cF82e4aE43D31eA51e72B663d26e26a75AF729 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 83, LP token: 0x26d8151e631608570F3c28bec769C3AfEE0d73a3 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 (is WETH: False), Token 1: 0xBD2F0Cd039E0BFcf88901C98c0bFAc5ab27566e3 (is WETH: False)
Pool ID: 84, LP token: 0xaB3F8E0214D862Bf7965d3CeC7431d7C1A85cb34 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x44Ea84a85616F8e9cD719Fc843DE31D852ad7240 (is WETH: False), Token 1: 0x6B175474E89094C44Da98b954EedeAC495271d0F (is WETH: False)
Pool ID: 85, LP token: 0x8B00eE8606CC70c2dce68dea0CEfe632CCA0fB7b (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xa47c8bf37f92aBed4A126BDA807A7b7498661acD (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 86, LP token: 0xaa500101C73065f755Ba9b902d643705EF2523E3 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xeF9Cd7882c067686691B6fF49e650b43AFBBCC6B (is WETH: False)
Pool ID: 87, LP token: 0xeB1B57D4f7d4557B032B66c422bc94a8E4Af859e (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xE4f726Adc8e89C6a6017F01eadA77865dB22dA14 (is WETH: False)
Pool ID: 88, LP token: 0x5F30aAc9A472F6c33D5284f9D340C0d57eF33697 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x17525E4f4Af59fbc29551bC4eCe6AB60Ed49CE31 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 89, LP token: 0x83E5e791F4aB29d1B0941Bc4D00f3D6027d1dae5 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x78F225869c08d478c34e5f645d07A87d3fe8eb78 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
